,Actividad,Calificación,URL
0,Oceanographic Museum of Monaco,4.5,https://www.tripadvisor.es//Attraction_Review-g190409-d195271-Reviews-Oceanographic_Museum_of_Monaco-Monte_Carlo.html
1,Casino of Monte-Carlo,4.0,https://www.tripadvisor.es//Attraction_Review-g190409-d195263-Reviews-Casino_of_Monte_Carlo-Monte_Carlo.html
2,The Private Collection of Antique Cars of H.S.H. Prince Rainier III,4.5,https://www.tripadvisor.es//Attraction_Review-g190409-d4952787-Reviews-The_Private_Collection_of_Antique_Cars_of_H_S_H_Prince_Rainier_III-Monte_Carlo.html
3,Monte Carlo Harbor,4.5,https://www.tripadvisor.es//Attraction_Review-g190409-d2311217-Reviews-Monte_Carlo_Harbor-Monte_Carlo.html
4,Prince's Palace of Monaco,4.0,https://www.tripadvisor.es//Attraction_Review-g190408-d195270-Reviews-Prince_s_Palace_of_Monaco-Monaco_Ville.html
5,Casino Square,4.5,https://www.tripadvisor.es//Attraction_Review-g190409-d2385491-Reviews-Casino_Square-Monte_Carlo.html
6,Cathedrale Notre-Dame-Immaculee,4.5,https://www.tripadvisor.es//Attraction_Review-g190408-d195262-Reviews-Cathedrale_Notre_Dame_Immaculee-Monaco_Ville.html
7,Larvotto Beach,4.0,https://www.tripadvisor.es//Attraction_Review-g190409-d258093-Reviews-Larvotto_Beach-Monte_Carlo.html
8,Japanese Garden,4.5,https://www.tripadvisor.es//Attraction_Review-g190409-d3319270-Reviews-Japanese_Garden-Monte_Carlo.html
9,Monaco Grand Prix,4.5,https://www.tripadvisor.es//Attraction_Review-g190409-d10477080-Reviews-Monaco_Grand_Prix-Monte_Carlo.html
10,Jardin Exotique de Monaco,4.5,https://www.tripadvisor.es//Attraction_Review-g190408-d195274-Reviews-Jardin_Exotique_de_Monaco-Monaco_Ville.html
11,Princess Grace Botanical Garden,4.5,https://www.tripadvisor.es//Attraction_Review-g190408-d4916173-Reviews-Princess_Grace_Botanical_Garden-Monaco_Ville.html
12,Place du Palais,4.5,https://www.tripadvisor.es//Attraction_Review-g190408-d6419282-Reviews-Place_du_Palais-Monaco_Ville.html
13,Fairmont Hairpin Curve,4.5,https://www.tripadvisor.es//Attraction_Review-g190409-d12110309-Reviews-Fairmont_Hairpin_Curve-Monte_Carlo.html
14,Opera de Monte-Carlo,4.5,https://www.tripadvisor.es//Attraction_Review-g190409-d607683-Reviews-Opera_de_Monte_Carlo-Monte_Carlo.html
15,Metropole Shopping Monte-Carlo,4.5,https://www.tripadvisor.es//Attraction_Review-g190409-d3319214-Reviews-Metropole_Shopping_Monte_Carlo-Monte_Carlo.html
