,Título,Descripción,Precio (€),Fecha entrada,Fecha salida
1,Apartamento en Gamle Oslo,Apartamento de 3 habitaciones en Ensjø/ Helsfyr,307,2024-10-24,2024-10-27
2,Apartamento en Oslo kommune,"Acogedor, céntrico y habitaciones cuatro",351,2024-10-24,2024-10-27
3,Apartamento en Sentrum,"13,planta Tjuvholmen, gran vista, terraza en la azotea",549,2024-10-24,2024-10-27
4,Apartamento en Sankt Hanshaugen,Un oasis verde en medio de Oslo,774,2024-10-24,2024-10-27
7,Loft en Ris,"Vinderen, amplio apartamento en el ático",480,2024-10-24,2024-10-27
8,Apto. residencial en Grünerløkka,Acogedor apartamento Grunerløkka.,580,2024-10-24,2024-10-27
9,Apartamento en Grünerløkka,¡Apartamento único diseñado por un arquitecto!,469,2024-10-24,2024-10-27
10,Apartamento en Bydel Sagene,Apartamento grande y moderno: ¡ubicación perfecta!,480,2024-10-24,2024-10-27
11,Apartamento en Bydel Østensjø,Apartamento de 4 habitaciones cerca del campo,419,2024-10-24,2024-10-27
12,Apartamento en Oslo kommune,¡Loft de artista en la encantadora Bislett!,708,2024-10-24,2024-10-27
14,Apto. residencial en Sankt Hanshaugen,Apartamento moderno y luminoso de 2 dormitorios en el centro,819,2024-10-24,2024-10-27
15,Apto. residencial en Majorstuen,Acogedor apartamento en Homansbyen con balcón,1372,2024-10-24,2024-10-27
16,Apto. residencial en Bydel Alna,Apartamento perfecto para trabajadores  + garaje interior!,633,2024-10-24,2024-10-27
17,Apartamento en Grünerløkka,Apartamento tipo tipo lo en Grünerløkka,1047,2024-10-24,2024-10-27
18,Apartamento en Oslo,Solbakkeveien,389,2024-10-24,2024-10-27
19,Apto. residencial en Nordstrand,Apartamento recién remodelado,349,2024-10-24,2024-10-27
20,Apartamento en Bydel Sagene,Excelente apartamento de Nydalen,508,2024-10-24,2024-10-27
21,Apartamento en Gamle Oslo,4-R a un alto nivel desde 2019: a 1 minuto del metro.,823,2024-10-24,2024-10-27
22,Apto. residencial en Bærum,Acogedor apartamento de 105 metros cuadrados en Høvik,459,2024-10-24,2024-10-27
23,Apartamento en Grünerløkka,Vista espectacular de alto nivel,629,2024-10-24,2024-10-27
24,Apartamento en Gamle Oslo,Apartamento de 3 habitaciones en Ensjø/ Helsfyr,307,2024-10-31,2024-03-11
25,Apartamento en Oslo kommune,"Acogedor, céntrico y habitaciones cuatro",351,2024-10-31,2024-03-11
